_P_;_x_;_y_;z_offset_0.01mm
348;144;154;20
349;142;154;25
350;140;154;20
351;138;154;21
352;136;154;24
353;134;154;23
354;132;154;20
355;130;154;17
356;128;154;21
357;126;154;13
358;124;154;21
359;122;154;8
360;120;154;20
361;120;156;19
362;122;156;18
363;124;156;20
364;126;156;7
365;128;156;13
366;130;156;18
367;132;156;15
368;134;156;22
369;136;156;24
370;138;156;23
371;140;156;22
372;142;156;17
373;144;156;23
374;146;156;24
375;148;156;20
376;150;156;19
377;152;156;20
378;154;156;19
379;156;156;19
380;158;156;17
381;158;158;16
382;156;158;20
383;154;158;17
384;152;158;21
385;150;158;17
386;148;158;23
387;146;158;17
388;144;158;23
389;142;158;21
390;140;158;24
391;138;158;19
392;136;158;15
393;134;158;13
394;132;158;19
395;130;158;12
396;128;158;13
397;126;158;10
398;124;158;15
399;122;158;14
400;120;158;20
